date,累计净值
2010-11-24,1.0
2010-11-26,1.0
2010-12-03,1.001
2010-12-10,1.002
2010-12-17,1.004
2010-12-24,0.997
2010-12-31,0.994
2011-01-07,0.999
2011-01-10,0.997
2011-01-11,0.997
2011-01-12,1.0
2011-01-13,1.001
2011-01-14,0.998
2011-01-17,0.991
2011-01-18,0.989
2011-01-19,0.99
2011-01-20,0.983
2011-01-21,0.985
2011-01-24,0.984
2011-01-25,0.985
2011-01-26,0.989
2011-01-27,0.989
2011-01-28,0.989
2011-01-31,0.99
2011-02-01,0.991
2011-02-09,0.986
2011-02-10,0.987
2011-02-11,0.987
2011-02-14,0.997
2011-02-15,0.995
2011-02-16,0.994
2011-02-17,0.993
2011-02-18,0.989
2011-02-21,0.991
2011-02-22,0.984
2011-02-23,0.986
2011-02-24,0.985
2011-02-25,0.984
2011-02-28,0.986
2011-03-01,0.988
2011-03-02,0.987
2011-03-03,0.991
2011-03-04,0.996
2011-03-07,1.005
2011-03-08,1.003
2011-03-09,1.005
2011-03-10,0.998
2011-03-11,0.994
2011-03-14,0.993
2011-03-15,0.987
2011-03-16,0.991
2011-03-17,0.988
2011-03-18,0.992
2011-03-21,0.991
2011-03-22,0.993
2011-03-23,0.997
2011-03-24,0.996
2011-03-25,1.003
2011-03-28,1.004
2011-03-29,1.004
2011-03-30,1.003
2011-03-31,0.999
2011-04-01,1.005
2011-04-06,1.011
2011-04-07,1.012
2011-04-08,1.013
2011-04-11,1.015
2011-04-12,1.018
2011-04-13,1.026
2011-04-14,1.029
2011-04-15,1.032
2011-04-18,1.036
2011-04-19,1.024
2011-04-20,1.023
2011-04-21,1.026
2011-04-22,1.024
2011-04-25,1.016
2011-04-26,1.018
2011-04-27,1.018
2011-04-28,1.02
2011-04-29,1.024
2011-05-03,1.027
2011-05-04,1.021
2011-05-05,1.021
2011-05-06,1.02
2011-05-09,1.022
2011-05-10,1.023
2011-05-11,1.023
2011-05-12,1.02
2011-05-13,1.021
2011-05-16,1.018
2011-05-17,1.016
2011-05-18,1.02
2011-05-19,1.017
2011-05-20,1.018
2011-05-23,1.007
2011-05-24,1.006
2011-05-25,1.001
2011-05-26,1.0
2011-05-27,1.0
2011-05-30,1.0
2011-05-31,1.003
2011-06-01,1.006
2011-06-02,0.998
2011-06-03,1.0
2011-06-07,1.0
2011-06-08,0.998
2011-06-09,0.99
2011-06-10,0.992
2011-06-13,0.99
2011-06-14,0.993
2011-06-15,0.988
2011-06-16,0.981
2011-06-17,0.98
2011-06-20,0.976
2011-06-21,0.98
2011-06-22,0.981
2011-06-23,0.985
2011-06-24,0.994
2011-06-27,0.993
2011-06-28,0.991
2011-06-29,0.985
2011-06-30,0.991
2011-07-01,0.99
2011-07-04,0.997
2011-07-05,0.998
2011-07-06,0.996
2011-07-07,0.994
2011-07-08,0.992
2011-07-11,0.991
2011-07-12,0.987
2011-07-13,0.988
2011-07-14,0.989
2011-07-15,0.989
2011-07-18,0.985
2011-07-19,0.979
2011-07-20,0.974
2011-07-21,0.967
2011-07-22,0.97
2011-07-25,0.959
2011-07-26,0.958
2011-07-27,0.958
2011-07-28,0.951
2011-07-29,0.952
2011-08-01,0.95
2011-08-02,0.945
2011-08-03,0.942
2011-08-04,0.946
2011-08-05,0.94
2011-08-08,0.933
2011-08-09,0.935
2011-08-10,0.936
2011-08-11,0.948
2011-08-12,0.949
2011-08-15,0.956
2011-08-16,0.954
2011-08-17,0.952
2011-08-18,0.945
2011-08-19,0.937
2011-08-22,0.935
2011-08-23,0.939
2011-08-24,0.936
2011-08-25,0.946
2011-08-26,0.944
2011-08-29,0.921
2011-08-30,0.912
2011-08-31,0.912
2011-09-01,0.91
2011-09-02,0.895
2011-09-05,0.88
2011-09-06,0.877
2011-09-07,0.891
2011-09-08,0.89
2011-09-09,0.891
2011-09-13,0.888
2011-09-14,0.889
2011-09-15,0.889
2011-09-16,0.889
2011-09-19,0.885
2011-09-20,0.885
2011-09-21,0.891
2011-09-22,0.879
2011-09-23,0.868
2011-09-26,0.852
2011-09-27,0.857
2011-09-28,0.856
2011-09-29,0.845
2011-09-30,0.853
2011-10-10,0.852
2011-10-11,0.852
2011-10-12,0.869
2011-10-13,0.881
2011-10-14,0.882
2011-10-17,0.89
2011-10-18,0.881
2011-10-19,0.881
2011-10-20,0.873
2011-10-21,0.881
2011-10-24,0.892
2011-10-25,0.898
2011-10-26,0.906
2011-10-27,0.9
2011-10-28,0.908
2011-10-31,0.914
2011-11-01,0.921
2011-11-02,0.93
2011-11-03,0.932
2011-11-04,0.932
2011-11-07,0.93
2011-11-08,0.928
2011-11-09,0.933
2011-11-10,0.924
2011-11-11,0.918
2011-11-14,0.926
2011-11-15,0.925
2011-11-16,0.911
2011-11-17,0.905
2011-11-18,0.898
2011-11-21,0.9
2011-11-22,0.901
2011-11-23,0.9
2011-11-24,0.899
2011-11-25,0.899
2011-11-28,0.899
2011-11-29,0.902
2011-11-30,0.888
2011-12-01,0.898
2011-12-02,0.893
2011-12-05,0.889
2011-12-06,0.887
2011-12-07,0.89
2011-12-08,0.889
2011-12-09,0.887
2011-12-12,0.886
2011-12-13,0.882
2011-12-14,0.88
2011-12-15,0.879
2011-12-16,0.887
2011-12-19,0.886
2011-12-20,0.89
2011-12-21,0.884
2011-12-22,0.884
2011-12-23,0.885
2011-12-26,0.881
2011-12-27,0.881
2011-12-28,0.881
2011-12-29,0.886
2011-12-30,0.892
2011-12-31,0.892
2012-01-04,0.893
2012-01-05,0.896
2012-01-06,0.9
2012-01-09,0.91
2012-01-10,0.921
2012-01-11,0.912
2012-01-12,0.913
2012-01-13,0.906
2012-01-16,0.902
2012-01-17,0.913
2012-01-18,0.907
2012-01-19,0.917
2012-01-20,0.923
2012-01-30,0.914
2012-01-31,0.915
2012-02-01,0.913
2012-02-02,0.92
2012-02-03,0.922
2012-02-06,0.92
2012-02-07,0.91
2012-02-08,0.919
2012-02-09,0.917
2012-02-10,0.916
2012-02-13,0.911
2012-02-14,0.91
2012-02-15,0.914
2012-02-16,0.914
2012-02-17,0.913
2012-02-20,0.915
2012-02-21,0.916
2012-02-22,0.916
2012-02-23,0.916
2012-02-24,0.916
2012-02-27,0.916
2012-02-28,0.918
2012-02-29,0.914
2012-03-01,0.914
2012-03-02,0.92
2012-03-05,0.914
2012-03-06,0.911
2012-03-07,0.91
2012-03-08,0.912
2012-03-09,0.915
2012-03-12,0.913
2012-03-13,0.916
2012-03-14,0.907
2012-03-15,0.905
2012-03-16,0.91
2012-03-19,0.908
2012-03-20,0.906
2012-03-21,0.905
2012-03-22,0.906
2012-03-23,0.905
2012-03-26,0.904
2012-03-27,0.904
2012-03-28,0.897
2012-03-29,0.894
2012-03-30,0.898
2012-03-31,0.898
2012-04-05,0.898
2012-04-06,0.899
2012-04-09,0.899
2012-04-10,0.9
2012-04-11,0.903
2012-04-12,0.911
2012-04-13,0.915
2012-04-16,0.914
2012-04-17,0.909
2012-04-18,0.916
2012-04-19,0.917
2012-04-20,0.921
2012-04-23,0.919
2012-04-24,0.919
2012-04-25,0.92
2012-04-26,0.92
2012-04-27,0.922
2012-05-02,0.928
2012-05-03,0.927
2012-05-04,0.929
2012-05-07,0.927
2012-05-08,0.924
2012-05-09,0.919
2012-05-10,0.922
2012-05-11,0.92
2012-05-14,0.917
2012-05-15,0.918
2012-05-16,0.916
2012-05-17,0.923
2012-05-18,0.919
2012-05-21,0.921
2012-05-22,0.927
2012-05-23,0.926
2012-05-24,0.925
2012-05-25,0.924
2012-05-28,0.927
2012-05-29,0.931
2012-05-30,0.932
2012-05-31,0.931
2012-06-01,0.93
2012-06-04,0.921
2012-06-05,0.923
2012-06-06,0.923
2012-06-07,0.924
2012-06-08,0.923
2012-06-11,0.927
2012-06-12,0.926
2012-06-13,0.933
2012-06-14,0.93
2012-06-15,0.933
2012-06-18,0.934
2012-06-19,0.933
2012-06-20,0.931
2012-06-21,0.927
2012-06-25,0.924
2012-06-26,0.921
2012-06-27,0.922
2012-06-28,0.92
2012-06-29,0.924
2012-06-30,0.924
2012-07-02,0.924
2012-07-03,0.924
2012-07-04,0.926
2012-07-05,0.923
2012-07-06,0.926
2012-07-09,0.923
2012-07-10,0.917
2012-07-11,0.917
2012-07-12,0.919
2012-07-13,0.921
2012-07-16,0.917
2012-07-17,0.918
2012-07-18,0.92
2012-07-19,0.921
2012-07-20,0.918
2012-07-23,0.915
2012-07-24,0.912
2012-07-25,0.91
2012-07-26,0.904
2012-07-27,0.902
2012-07-30,0.901
2012-07-31,0.902
2012-08-01,0.907
2012-08-02,0.905
2012-08-03,0.903
2012-08-06,0.906
2012-08-07,0.906
2012-08-08,0.91
2012-08-09,0.91
2012-08-10,0.914
2012-08-13,0.911
2012-08-14,0.909
2012-08-15,0.905
2012-08-16,0.904
2012-08-17,0.903
2012-08-20,0.9
2012-08-21,0.901
2012-08-22,0.898
2012-08-23,0.896
2012-08-24,0.894
2012-08-27,0.885
2012-08-28,0.889
2012-08-29,0.886
2012-08-30,0.886
2012-08-31,0.888
2012-09-03,0.888
2012-09-04,0.885
2012-09-05,0.882
2012-09-06,0.88
2012-09-07,0.889
2012-09-10,0.889
2012-09-11,0.883
2012-09-12,0.88
2012-09-13,0.878
2012-09-14,0.88
2012-09-17,0.871
2012-09-18,0.868
2012-09-19,0.866
2012-09-20,0.863
2012-09-21,0.863
2012-09-24,0.862
2012-09-25,0.861
2012-09-26,0.86
2012-09-27,0.867
2012-09-28,0.874
2012-09-30,0.874
2012-10-08,0.874
2012-10-09,0.881
2012-10-10,0.882
2012-10-11,0.883
2012-10-12,0.886
2012-10-15,0.883
2012-10-16,0.882
2012-10-17,0.884
2012-10-18,0.89
2012-10-19,0.891
2012-10-22,0.892
2012-10-23,0.888
2012-10-24,0.886
2012-10-25,0.884
2012-10-26,0.878
2012-10-29,0.876
2012-10-30,0.878
2012-10-31,0.88
2012-11-01,0.885
2012-11-02,0.89
2012-11-05,0.888
2012-11-06,0.886
2012-11-07,0.886
2012-11-08,0.884
2012-11-09,0.888
2012-11-12,0.89
2012-11-13,0.884
2012-11-14,0.885
2012-11-15,0.883
2012-11-16,0.88
2012-11-19,0.882
2012-11-20,0.882
2012-11-21,0.884
2012-11-22,0.883
2012-11-23,0.888
2012-11-26,0.891
2012-11-27,0.889
2012-11-28,0.886
2012-11-29,0.888
2012-11-30,0.894
2012-12-03,0.891
2012-12-04,0.892
2012-12-05,0.902
2012-12-06,0.906
2012-12-07,0.915
2012-12-10,0.92
2012-12-11,0.917
2012-12-12,0.917
2012-12-13,0.913
2012-12-14,0.932
2012-12-17,0.936
2012-12-18,0.937
2012-12-19,0.937
2012-12-20,0.938
2012-12-21,0.935
2012-12-24,0.933
2012-12-25,0.947
2012-12-26,0.945
2012-12-27,0.949
2012-12-28,0.951
2012-12-31,0.954
2013-01-04,0.965
2013-01-07,0.968
2013-01-08,0.964
2013-01-09,0.965
2013-01-10,0.974
2013-01-11,0.969
2013-01-14,0.992
2013-01-15,1.0
2013-01-16,1.003
2013-01-17,1.003
2013-01-18,1.012
2013-01-21,1.014
2013-01-22,1.008
2013-01-23,1.002
2013-01-24,0.995
2013-01-25,0.989
2013-01-28,1.01
2013-01-29,1.01
2013-01-30,1.016
2013-01-31,1.05
2013-02-01,1.06
2013-02-04,1.057
2013-02-05,1.053
2013-02-06,1.054
2013-02-07,1.051
2013-02-08,1.057
2013-02-18,1.058
2013-02-19,1.045
2013-02-20,1.052
2013-02-21,1.028
2013-02-22,1.02
2013-02-25,1.023
2013-02-26,1.017
2013-02-27,1.022
2013-02-28,1.04
2013-03-01,1.037
2013-03-04,1.005
2013-03-05,1.016
2013-03-06,1.031
2013-03-07,1.021
2013-03-08,1.021
2013-03-11,1.017
2013-03-12,1.016
2013-03-13,1.008
2013-03-14,1.01
2013-03-15,1.012
2013-03-18,1.002
2013-03-19,1.008
2013-03-20,1.025
2013-03-21,1.037
2013-03-22,1.046
2013-03-25,1.055
2013-03-26,1.039
2013-03-27,1.039
2013-03-28,1.008
2013-03-29,1.007
2013-04-01,1.008
2013-04-02,1.002
2013-04-03,1.001
2013-04-08,0.999
2013-04-09,1.006
2013-04-10,1.007
2013-04-11,1.012
2013-04-12,1.009
2013-04-15,0.992
2013-04-16,0.995
2013-04-17,0.989
2013-04-18,0.987
2013-04-19,1.011
2013-04-22,0.997
2013-04-23,0.973
2013-04-24,0.982
2013-04-25,0.984
2013-04-26,0.983
2013-05-02,0.976
2013-05-03,0.992
2013-05-06,1.004
2013-05-07,1.011
2013-05-08,1.015
2013-05-09,1.005
2013-05-10,1.009
2013-05-13,1.011
2013-05-14,1.001
2013-05-15,1.003
2013-05-16,1.022
2013-05-17,1.046
2013-05-20,1.058
2013-05-21,1.046
2013-05-22,1.032
2013-05-23,1.022
2013-05-24,1.024
2013-05-27,1.025
2013-05-28,1.053
2013-05-29,1.057
2013-05-30,1.05
2013-05-31,1.046
2013-06-03,1.045
2013-06-04,1.032
2013-06-05,1.032
2013-06-06,1.023
2013-06-07,1.011
2013-06-13,0.977
2013-06-14,0.974
2013-06-17,0.979
2013-06-18,0.985
2013-06-19,0.97
2013-06-20,0.913
2013-06-21,0.919
2013-06-24,0.865
2013-06-25,0.89
2013-06-26,0.897
2013-06-27,0.906
2013-06-28,0.916
2013-06-30,0.915
2013-07-01,0.942
2013-07-02,0.944
2013-07-03,0.933
2013-07-04,0.932
2013-07-05,0.942
2013-07-08,0.928
2013-07-09,0.93
2013-07-10,0.937
2013-07-11,0.957
2013-07-12,0.945
2013-07-15,0.947
2013-07-16,0.942
2013-07-17,0.932
2013-07-18,0.919
2013-07-19,0.911
2013-07-22,0.905
2013-07-23,0.917
2013-07-24,0.91
2013-07-25,0.906
2013-07-26,0.909
2013-07-29,0.897
2013-07-30,0.898
2013-07-31,0.901
2013-08-01,0.915
2013-08-02,0.915
2013-08-05,0.925
2013-08-06,0.932
2013-08-07,0.927
2013-08-08,0.925
2013-08-09,0.925
2013-08-12,0.942
2013-08-13,0.947
2013-08-14,0.941
2013-08-15,0.932
2013-08-16,0.924
2013-08-19,0.933
2013-08-20,0.927
2013-08-21,0.92
2013-08-22,0.916
2013-08-23,0.913
2013-08-26,0.927
2013-08-27,0.928
2013-08-28,0.926
2013-08-29,0.925
2013-08-30,0.927
2013-09-02,0.93
2013-09-03,0.941
2013-09-04,0.939
2013-09-05,0.937
2013-09-06,0.937
2013-09-09,0.969
2013-09-10,0.981
2013-09-11,0.984
2013-09-12,0.987
2013-09-13,0.976
2013-09-16,0.966
2013-09-17,0.951
2013-09-18,0.956
2013-09-23,0.961
2013-09-24,0.952
2013-09-25,0.95
2013-09-26,0.935
2013-09-27,0.933
2013-09-30,0.932
2013-10-08,0.937
2013-10-09,0.946
2013-10-10,0.943
2013-10-11,0.951
2013-10-14,0.951
2013-10-15,0.949
2013-10-16,0.943
2013-10-17,0.938
2013-10-18,0.938
2013-10-21,0.949
2013-10-22,0.941
2013-10-23,0.942
2013-10-24,0.932
2013-10-25,0.925
2013-10-28,0.923
2013-10-29,0.93
2013-10-30,0.952
2013-10-31,0.947
2013-11-01,0.953
2013-11-04,0.948
2013-11-05,0.944
2013-11-06,0.936
2013-11-07,0.935
2013-11-08,0.93
2013-11-11,0.93
2013-11-12,0.934
2013-11-13,0.904
2013-11-14,0.903
2013-11-15,0.903
2013-11-18,0.934
2013-11-19,0.928
2013-11-20,0.926
2013-11-21,0.921
2013-11-22,0.924
2013-11-25,0.909
2013-11-26,0.902
2013-11-27,0.908
2013-11-28,0.914
2013-11-29,0.911
2013-12-02,0.92
2013-12-03,0.929
2013-12-04,0.941
2013-12-05,0.934
2013-12-06,0.925
